OTU_ID	sourdough_A	sourdough_B	sourdough_C	sourdough_D	sourdough_E	sourdough_F	sourdough_G	sourdough_H	sourdough_I	sourdough_J	sourdough_K	sourdough_L	sourdough_M	sourdough_N	sourdough_O	sourdough_P	sourdough_Q	sourdough_R
1d14c50dc7154ba8da6d08513f412ced	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0
af752fd55af93dc0b33d290589b049b0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	11.0	0.0	19.0	10.0	0.0	0.0	0.0	0.0	14.0
faed53c59a729dbedc30ed2f9eca6b1c	7.0	3.0	0.0	0.0	4.0	0.0	0.0	4.0	9.0	0.0	9.0	11.0	5.0	0.0	0.0	0.0	0.0	11.0
4cc5347ca13312119202f39796acfd75	16.0	0.0	0.0	0.0	9.0	0.0	0.0	11.0	0.0	0.0	9.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
bcc07a0319d384aef29d1de0a122f87b	7.0	0.0	4.0	0.0	10.0	0.0	0.0	0.0	8.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	12.0
5551a26e742f4d7419071036e49c7d26	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	38.0
896708d8d4bb01f4dca260fe17782550	0.0	0.0	8.0	6.0	12.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	5.0	4.0
57f3a18ea6e2823c9a6820fdc21aee93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8c93eedc42be6fecc67ba0bf496958ef	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	20.0
074db5e9eb2ec66b5bdb0abd558b8248	6.0	0.0	0.0	0.0	9.0	0.0	0.0	7.0	0.0	0.0	8.0	9.0	0.0	0.0	0.0	0.0	0.0	9.0
9c16733c9c5d7f9e5d86a6a68d1031a6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	9.0	0.0	10.0	10.0	0.0	9.0
eae433a0f28daeed2ce2ade2ce825bd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0
40723074e34c269c87ce5055ea5a8265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0
6c638b224fa48f7a8a76f49ab441d459	5.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	9.0
2cacacb400c43163c0f1154cd1b1cfff	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	8.0	0.0	0.0	0.0	0.0	19.0
a46614c3fbda565c11a2083c11380758	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	6.0	0.0
8c455709d8ca306849262f3ebf445531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	15.0
0dd0bce64018d6f2afdcac1b9d0536b5	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	7.0	0.0	5.0	0.0	0.0	0.0
709fdc08c8e8227f403e2a16f070ea6b	0.0	0.0	3.0	8.0	0.0	4.0	0.0	0.0	4.0	0.0	5.0	7.0	0.0	0.0	0.0	3.0	0.0	6.0
bd3a54ab0125c6f8e3302f779c4ae2ab	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	6.0	0.0	17.0	0.0	0.0	0.0
d3d627197a5a3f8385ddad7fe82b4ec5	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
3deaa3c663dccbd5a283c1222ae5fa12	0.0	0.0	14.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0
edaed6b701b6ade452bf6f614c226a2d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	7.0	15.0
1938702a4bbba5b2a9408ab96a3f7acc	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0
d01048f2f4bb44894b65258323a90f89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8ebadfdcca96925606dafc3d59abf097	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	12.0	0.0	5.0	6.0	0.0	0.0
9598c39f602c4bf8dbf2afe982929d46	4.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	6.0	0.0	3.0	9.0	0.0	0.0
2fedf0f3124b60984e1aedd782967ee2	0.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	5.0	5.0
6bcbc03ea3130fc01eb5f2a77e60b8fa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0
ee0f5e21ecd4b13a1d9c3ce5827a0c2b	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0
bdd4b0c117a72182da7d091f2441161e	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	10.0
ae190cb03d70adf768e257e565efece9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0
54e18e3514019b2b9802668d63f90425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	18.0
533a056b6592b39062999b4c382d9fd1	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	9.0
2a560e6d5edcfa8f70d4fbf6f9ce0800	0.0	0.0	0.0	6.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	5.0
e2af3213e1f5279ebe67abb97d6bc258	4.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	8.0
5ed216c2d503d0391ccab571703a159d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	15.0
c439579b48539540c8961562e2abb1d3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e809329bf0b7e7296558876aa038990d	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	7.0
72d46f8750dd9fe14159324da30e7fe1	0.0	0.0	0.0	9.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63def465996709da1ee35d03a89c59a9	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
c1387d73462b489e420183014bfea0bd	0.0	0.0	4.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0
01858edc6464f55f05aa2e0b24779061	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
a36c60f3a1efe7690bf1bd0ce99be4c4	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
